b	418	不|u44	八|a13	巴|a19	疤|a1b	芭|a1c	蚆|a1i	釟|a1j	吧|a1k	叭|a1kb	粑|a1m	朳|a1mb	仈|a1r	扒|a1u	豝|a1ub	岜|a1ue	笆|a1z	茇|a2c	菝|a2cu	軷|a2c;	鼥|a2f	犮|a2k	妭|a2n	癹|a2p	胈|a2r	拔|a2u	魃|a2v	跋|a2z	靶|a3g	钯|a3j	㞎|a3s	把|a3u	爸|a4f	靶|a4g	霸|a4i	杷|a4m	耙|a4n	坝|a4t	把|a4u	灞|a4ui	矲|a4u;	罢|a4w	鲅|a4y	𠀧|a5o	巴|a09	吧|a0k	叭|a0kb	𣬶|a0m	罢|a0w	飙|c1f	飑|c1fl	彪|c1h	镖|c1j	镳|c1jg	标|c1m	髟|c1mi	骉|c1mm	骠|c1mp	杓|c1mu	嫖|c1n	膘|c1r	摽|c1u	婊|c3n	表|c3q	裱|c3y	俵|c4r	摽|c4u	鳔|c4y	𰻝|d2z	贲|f1b	奔|f1c	锛|f1j	栟|f1m	本|f36	苯|f3c	畚|f3t	奔|f4c	坌|f4t	笨|f4z	嘣|g1k	绷|g1s	祊|g1sf	崩|g1u	抨|g1up	甭|g2k	绷|g3s	琫|g3w	蚌|g4i	镚|g4j	绷|g4s	泵|g4u	甏|g4w	蹦|g4z	迸|g4zd	邦|h1b	帮|h1j	𠳐|h1k	梆|h1m	縍|h1s	垹|h1t	浜|h1u	榜|h3m	膀|h3r	绑|h3s	蒡|h4c	蚌|h4i	镑|h4j	棒|h4m	棓|h4mk	榜|h4mp	傍|h4r	磅|h4s	塝|h4t	搒|h4u	艕|h4v	玤|h4w	谤|h4y	屄|i1s	逼|i1z	荸|i2c	鼻|i2z	匕|i34	比|i3b	鄙|i3bk	芘|i3c	秕|i3h	吡|i3k	妣|i3n	俾|i3r	彼|i3t	沘|i3u	笔|i3z	必|i44	陛|i4b	邲|i4bb	贲|i4bh	赑|i4bm	陂|i4bp	痹|i4bt	毖|i4bx	弊|i4c	苾|i4cb	蓖|i4cp	荜|i4cs	蔽|i4cu	薜|i4cx	毙|i4d	庇|i4g	弼|i4gb	庳|i4gp	髀|i4gs	㡀|i4h	秘|i4hx	币|i4j	铋|i4jx	哔|i4k	吡|i4kb	觱|i4kg	咇|i4kx	闭|i4m	閟|i4mb	梐|i4mt	柲|i4mx	駜|i4m;	婢|i4n	嬖|i4nx	狴|i4q	臂|i4r	佖|i4rx	毕|i4s	碧|i4sw	壁|i4t	坒|i4tb	畀|i4tq	敝|i4u	湢|i4uf	濞|i4ut	泌|i4ux	滗|i4uz	璧|i4w	韠|i4w;	辟|i4x	愎|i4xf	诐|i4y	裨|i4ys	襞|i4yx	避|i4z	跸|i4zb	躄|i4zk	筚|i4zs	箅|i4zt	篦|i4zx	瘢|j1b	癍|j1bw	颁|j1i	班|j1r	搬|j1u	攽|j1ud	扳|j1uf	般|j1v	斑|j1w	阪|j3b	钣|j3j	板|j3m	版|j3p	昄|j3r	坂|j3t	半|j45	瓣|j4g	办|j4l	柈|j4m	伴|j4r	绊|j4s	拌|j4u	扮|j4uf	苞|k1c	苴|k1cq	剥|k1d	煲|k1h	炮|k1hl	包|k1l	枹|k1m	龅|k1n	胞|k1r	褒|k1y	孢|k1z	薄|k2c	雹|k2i	宝|k3b	葆|k3c	鸨|k3n	保|k3r	堡|k3t	饱|k3u	褓|k3y	刨|k4d	爆|k4h	豹|k4q	暴|k4r	曝|k4rr	抱|k4u	报|k4uk	瀑|k4ur	鲍|k4y	趵|k4z	掰|l1u	挀|l1uc	白|l20	拜|l2u	百|l30	柏|l3m	佰|l3r	摆|l3u	捭|l3ub	败|l4b	稗|l4h	呗|l4k	粺|l4m	拜|l4u	鞭|m1g	煸|m1h	蝙|m1i	编|m1s	砭|m1sf	鳊|m1y	边|m1z	笾|m1zz	贬|m3b	扁|m3h	匾|m3o	褊|m3y	釆|m46	𨚕|m4b	弁|m4c	苄|m4cd	卞|m4d	变|m4k	便|m4r	辨|m4rx	辫|m4s	汴|m4u	抃|m4ud	忭|m4x	辩|m4y	遍|m4z	宾|n1b	邠|n1bf	镔|n1j	彬|n1m	槟|n1mb	傧|n1r	缤|n1s	滨|n1u	濒|n1up	豳|n1uu	斌|n1w	玢|n1wf	殡|n4d	髌|n4g	鬓|n4p	膑|n4r	摈|n4u	菠|o1c	蕃|o1cf	剥|o1d	钵|o1j	啵|o1k	波|o1u	拨|o1uf	播|o1ut	饽|o1uz	癶|o1v	玻|o1w	趵|o1z	薄|o2c	茀|o2cf	亳|o2d	帛|o2j	铂|o2jb	钹|o2jk	勃|o2l	驳|o2m	柏|o2mb	鹁|o2n	伯|o2r	膊|o2rf	僰|o2rj	脖|o2rz	博|o2s	礴|o2sc	泊|o2u	搏|o2uf	渤|o2ul	舶|o2v	箔|o2z	孛|o2zs	跛|o3z	簸|o3zq	薄|o4c	檗|o4m	擘|o4u	簸|o4z	卜|o01	啵|o0k	晡|u1r	逋|u1z	不|u24	卜|u31	哺|u3k	卟|u3kb	堡|u3t	捕|u3u	补|u3y	部|u4b	蔀|u4c	布|u4j	钚|u4jb	埠|u4t	埔|u4tf	步|u4v	瓿|u4w	怖|u4x	簿|u4z	瘪|x1b	蔽|x1c	憋|x1x	鳖|x1y	癿|x2b	别|x2d	蹩|x2z	瘪|x3b	别|x4d	陂|z1b	杯|z1m	背|z1r	卑|z1s	碑|z1ss	悲|z1x	北|z3b	邶|z4b	辈|z4c	茀|z4cf	蓓|z4cr	鞴|z4g	焙|z4h	钡|z4j	鐾|z4jx	贝|z4m	棓|z4mk	狈|z4q	背|z4r	倍|z4rk	碚|z4s	备|z4u	𬇙|z4um	琲|z4w	悖|z4x	惫|z4xu	被|z4y	褙|z4yr	孛|z4z	呗|z0k	臂|z0r	兵|;1b	并|;1d	槟|;1m	冰|;1u	丙|;35	秉|;36	邴|;3b	炳|;3h	柄|;3m	屏|;3s	禀|;3sd	饼|;3u	病|;4b	并|;4d	靐|;4i	摒|;4u
b1	0	
ce	6	厕|4c	册|4j	侧|4r	测|4u	恻|4x	策|4z
ce4	6	厕|c	册|j	侧|r	测|u	恻|x	策|z
ce4u	1	测|
ce4u.	1	測|
yig	1	一个|
yige	1	一个|
bu44ba13	1	不八|
bu44ba13bu44	1	不八不|
bua	0	
qqq	1	丘去|
ba13.	1	捌|
ba13a	0	
b;du	2	病毒|•	兵都|
ceu	2	测试|•	厕是|
bu44	1	不|
ba13	2	八|	捌|.
123	0	
bu4	11	不|4	部|b	蔀|c	布|j	钚|jb	埠|t	埔|tf	步|v	瓿|w	怖|x	簿|z
b;d	1	兵的|
zzzz	1	贼贼|
ce4u.a	0	
b;'du	1	兵都|
bu44'ba13'	1	不八|
